### Module positions - created on 09/07/2014 14:31:37 ###
### Printed by Pcbnew version pcbnew (2013-07-07 BZR 4022)-stable
## Unit = mm, Angle = deg.
## Side : All
# Ref    Val                  Package         PosX       PosY        Rot     Side
                          Via_4_2           123.7691  -124.5616       0.0    Front
                          Via_5_3           142.5702  -112.6617       0.0    Front
C5       1uF              C_SM0402          139.9692   -99.7001     180.0    Front
C13      470pF            C_SM0402          154.1910  -102.3807       0.0    Front
C14      10nF             C_SM0402          154.2113  -103.2494       0.0    Front
C15      150pF            C_SM0402          154.1605  -105.7894       0.0    Front
C16      470pF            C_SM0402          153.5201  -100.0912       0.0    Front
C17      10nF             C_SM0402          153.5303   -99.2708       0.0    Front
C18      150pF            C_SM0402          153.5201   -96.7994       0.0    Front
C21      1.0pF            C_SM0402          146.6700  -107.1400       0.0    Front
C26      100pF            C_SM0402          157.5500  -113.8600       0.0    Front
C27      100pF            C_SM0402          147.4000   -89.8600       0.0    Front
C28      100nF            C_SM0402          120.0900   -90.3100     180.0    Front
C29      1nF              C_SM0402          119.2000   -91.4000       0.0    Front
C30      100nF            C_SM0402          122.4700   -82.9400       0.0    Front
C31      8.2pF            C_SM0402          147.5000   -94.7600      90.0    Front
C32      100nF            C_SM0402          125.8000   -87.5000     270.0    Front
C33      0.5pF            C_SM0402          155.3800  -109.8800     270.0    Front
C34      1.0pF            C_SM0402          154.1200  -108.4900       0.0    Front
C36      1.2pF            C_SM0402          147.9500   -93.4500       0.0    Front
C44      1.2pF            C_SM0402          147.9500   -90.9000       0.0    Front
C49      1.2pF            C_SM0402          146.4000   -92.1900      90.0    Front
C51      100pF            C_SM0402          151.5806  -108.5105       0.0    Front
C54      100pF            C_SM0402          151.5806  -109.4350       0.0    Front
C56      100pF            C_SM0402          141.9600   -94.0000      90.0    Front
C57      100pF            C_SM0402          155.3800   -93.5400      90.0    Front
C59      100pF            C_SM0402          145.8200  -116.0900       0.0    Front
C60      100pF            C_SM0402          142.8100   -94.1000      90.0    Front
C61      100pF            C_SM0402          147.1200  -109.2400     270.0    Front
C63      100pF            C_SM0402          146.2300  -109.2400     270.0    Front
C68      8.2pF            C_SM0402          146.4100   -94.7700      90.0    Front
C69      100pF            C_SM0402          146.0400   -87.9500       0.0    Front
C72      1.0pF            C_SM0402          152.8700  -109.8800     270.0    Front
C75      100nF            C_SM0402          123.2713   -93.8606      90.0    Front
